benchmark,task ,t0_3b,t0pp,falcon-7b-instruct,mpt-7b-instruct,alpaca-7b,alpaca-13b,flan-t5-small,flan-t5-base,flan-t5-large,flan-t5-xl,flan-t5-xxl,airoboros-13b,nous-hermes-13b,ultralm-13b,vicuna-13b,minotaur-15b
lmentry,all words from category,0.6172093023255814,0.8454263565891468,0.5253488372093025,0.40050387596899234,0.14534883720930233,0.14810077519379844,0.4991085271317831,0.5528294573643414,0.5579457364341092,0.6976744186046517,0.8673643410852715,0.4779457364341087,0.6855038759689923,0.49515503875969086,0.1596124031007751,0.4304651162790698
lmentry,any words from category,0.47803088803088817,0.510115830115831,0.5376447876447874,0.28208494208494217,0.1196138996138996,0.1279150579150579,0.4787644787644791,0.6056370656370657,0.698185328185328,0.5661003861003866,0.614864864864865,0.28633204633204634,0.4945945945945953,0.5077220077220077,0.10849420849420845,0.3815444015444014
lmentry,ends with word,0.11831858407079643,0.11668141592920347,0.049026548672566284,0.09212389380530972,0.04154867256637167,0.37960176991150435,0.14601769911504425,0.0964159292035398,0.1173008849557522,0.12402654867256642,0.19371681415929193,0.22265486725663727,0.12517699115044237,0.06460176991150436,0.14973451327433615,0.07738938053097345
lmentry,first alphabetically,0.32089743589743613,0.48102564102564077,0.30581196581196607,0.27072649572649576,0.15367521367521358,0.16683760683760682,0.38004273504273495,0.45269230769230767,0.4536752136752138,0.4619230769230767,0.49927350427350475,0.28773504273504275,0.24119658119658127,0.14170940170940174,0.20465811965811956,0.17752136752136757
lmentry,homophones,0.3144150943396224,0.4038490566037736,0.12743396226415085,0.17747169811320754,0.08007547169811322,0.088188679245283,0.3014716981132077,0.36015094339622644,0.38886792452830204,0.5007547169811324,0.6789811320754717,0.1667924528301887,0.10913207547169812,0.018867924528301876,0.10464150943396225,0.011396226415094326
lmentry,less letters,0.3797083333333335,0.47566666666666657,0.24608333333333357,0.35724999999999996,0.1635416666666666,0.15954166666666666,0.3965000000000002,0.36545833333333355,0.45095833333333335,0.5209583333333333,0.5905833333333333,0.2332083333333332,0.28375000000000017,0.1762916666666668,0.13291666666666666,0.1641666666666666
lmentry,more letters,0.3819409282700422,0.540675105485232,0.2634177215189875,0.3855274261603374,0.15265822784810124,0.17046413502109697,0.358649789029536,0.4980590717299579,0.5218987341772151,0.5822784810126579,0.6619409282700429,0.20540084388185645,0.34978902953586505,0.23468354430379745,0.12704641350210968,0.18379746835443042
lmentry,rhyming word,0.29946938775510196,0.4290204081632656,0.15946938775510203,0.1986938775510204,0.09836734693877552,0.13685714285714287,0.301061224489796,0.2813061224489796,0.3691428571428572,0.47857142857142837,0.4751428571428571,0.09261224489795915,0.09089795918367344,0.013918367346938756,0.1370204081632653,0.00755102040816327
lmentry,word before,0.15467811158798284,0.17326180257510743,0.027253218884120165,0.10042918454935616,0.08472103004291841,0.06197424892703864,0.14721030042918457,0.10510729613733905,0.23227467811158806,0.23570815450643776,0.24905579399141614,0.16570815450643794,0.05266094420600855,0.0005579399141630902,0.0930472103004292,0.05206008583690986
lmentry,word not containing ,0.056870479947403005,0.1066732412886259,0.2882971729125576,0.05703484549638395,0.1091387245233399,0.1975673898750823,0.19740302432610127,0.08399079552925706,0.32051282051282043,0.5834976988823138,0.7924063116370819,0.09072978303747538,0.24178172255095345,0.17965154503616051,0.19247205785667346,0.03484549638395792
